Date,Details,Ref No/Cheque No,Debit,Credit,Balance
01/03/2026,UPI/CR/606012345678/SALARY/CITI/Salary March,123456789012,,85000.00,85000.00
02/03/2026,UPI/DR/606112345679/RENT/HDFC/House Rent,223456789013,25000.00,,60000.00
03/03/2026,UPI/DR/606212345680/ZEPTO/ICICI/Groceries,323456789014,1250.50,,58749.50
04/03/2026,GOOGLE *Services g.co/helppay#,,499.00,,58250.50
05/03/2026,UPI/DR/606312345681/ZOMATO/AXIS/Dinner,423456789015,850.00,,57400.50
06/03/2026,NEFT DR-ICIC0001234-ADITYA BIRLA-INSURANCE,N12345678,4500.00,,52900.50
07/03/2026,UPI/CR/606412345682/REFUND/ZOMATO/Refund,523456789016,,120.00,53020.50
08/03/2026,UPI/DR/606512345683/AMAZON/SBI/Shopping,623456789017,2300.00,,50720.50
09/03/2026,NETFLIX.COM PAYMENT,,899.00,,49821.50
10/03/2026,UPI/DR/606612345684/ZEPTO/KOTAK/Milk and Eggs,723456789018,450.00,,49371.50
11/03/2026,INTEREST CREDIT,,540.00,,49911.50
12/03/2026,UPI/DR/606712345685/SWIGGY/HDFC/Lunch,823456789019,340.00,,49571.50
13/03/2026,UPI/DR/606812345686/RELIANCE DIGITAL/SBI/Electronics,923456789020,12000.00,,37571.50
14/03/2026,IMPS-607012345687-MOM-GIFT,IMPS123456,5000.00,,32571.50
15/03/2026,UPI/DR/607112345688/AIRTEL/PAYTM/Mobile Bill,123456789021,799.00,,31772.50
16/03/2026,UPI/DR/607212345689/ZEPTO/KOTAK/Groceries,223456789022,980.00,,30792.50
17/03/2026,UPI/DR/607312345690/PVR CINEMAS/SBI/Movie,323456789023,1200.00,,29592.50
18/03/2026,UPI/CR/607412345691/DIVIDEND/ICICI/Stock,423456789024,,450.00,30042.50
19/03/2026,UPI/DR/607512345692/STARBUCKS/AXIS/Coffee,523456789025,480.00,,29562.50
20/03/2026,GOOGLE *Cloud g.co/pay#,,1500.00,,28062.50
21/03/2026,UPI/DR/607612345693/UBER/PAYTM/Ride,623456789026,350.00,,27712.50
22/03/2026,UPI/DR/607712345694/ZEPTO/HDFC/Snacks,723456789027,520.00,,27192.50
23/03/2026,UPI/DR/607812345695/ZOMATO/SBI/Dinner,823456789028,1100.00,,26092.50
24/03/2026,UPI/DR/607912345696/PETROL/HPCL/Fuel,923456789029,2000.00,,24092.50
25/03/2026,UPI/DR/608012345697/GYM RECHARGE/SBI/Fitness,123456789030,3000.00,,21092.50
26/03/2026,UPI/DR/608112345698/ZEPTO/KOTAK/Groceries,223456789031,1150.00,,19942.50
27/03/2026,UPI/DR/608212345699/ELECTRICITY BILL/MSEB,323456789032,2450.00,,17492.50
28/03/2026,UPI/DR/608312345700/AMAZON PRIME,,423456789033,129.00,,17363.50
29/03/2026,UPI/CR/608412345701/UPI SETTLEMENT/ICICI,523456789034,,1500.00,18863.50
30/03/2026,UPI/DR/608512345702/BOOKMYSHOW/Tickets,623456789035,650.00,,18213.50
